2049,1336,2302,2281,2045,2040,2883,1694,1566,1976,2069,2117,2051,1653,1068,1977,2122,2429,3049,2143,1974,1960
2051,1336,2304,2276,2040,2041,2915,1334,1260,1994,2069,2117,2033,1654,1070,1978,2122,2429,3046,2143,1975,1960
2048,1255,2315,2154,2040,2043,2739,1642,1413,2005,2084,2117,2076,1655,1078,1979,2124,2429,3042,2142,1972,1960
2044,1207,2218,2040,2039,2044,2812,1693,1515,2008,2082,2117,2076,1655,1083,1981,2127,2429,3036,2141,1970,1961
2044,1176,2573,2367,2040,2040,2807,1682,1520,2009,2082,2117,2077,1655,1085,1982,2127,2429,3034,2140,1969,1960
2038,1361,2364,2289,2032,2039,2912,1634,1600,1998,2088,2117,2079,1655,1091,1984,2131,2428,3028,2138,1966,1962
2049,1336,2302,2281,2045,2040,2883,1694,1566,1976,2069,2117,2051,1653,1068,1977,2122,2429,3049,2143,1974,1960
2051,1336,2304,2276,2040,2041,2915,1334,1260,1994,2069,2117,2033,1654,1070,1978,2122,2429,3046,2143,1975,1960
2048,1255,2315,2154,2040,2043,2739,1642,1413,2005,2084,2117,2076,1655,1078,1979,2124,2429,3042,2142,1972,1960
2044,1207,2218,2040,2039,2044,2812,1693,1515,2008,2082,2117,2076,1655,1083,1981,2127,2429,3036,2141,1970,1961
2044,1176,2573,2367,2040,2040,2807,1682,1520,2009,2082,2117,2077,1655,1085,1982,2127,2429,3034,2140,1969,1960
2038,1361,2364,2289,2032,2039,2912,1634,1600,1998,2088,2117,2079,1655,1091,1984,2131,2428,3028,2138,1966,1962
2049,1336,2302,2281,2045,2040,2883,1694,1566,1976,2069,2117,2051,1653,1068,1977,2122,2429,3049,2143,1974,1960
2051,1336,2304,2276,2040,2041,2915,1334,1260,1994,2069,2117,2033,1654,1070,1978,2122,2429,3046,2143,1975,1960
2048,1255,2315,2154,2040,2043,2739,1642,1413,2005,2084,2117,2076,1655,1078,1979,2124,2429,3042,2142,1972,1960
2044,1207,2218,2040,2039,2044,2812,1693,1515,2008,2082,2117,2076,1655,1083,1981,2127,2429,3036,2141,1970,1961
2044,1176,2573,2367,2040,2040,2807,1682,1520,2009,2082,2117,2077,1655,1085,1982,2127,2429,3034,2140,1969,1960
2038,1361,2364,2289,2032,2039,2912,1634,1600,1998,2088,2117,2079,1655,1091,1984,2131,2428,3028,2138,1966,1962
2049,1336,2302,2281,2045,2040,2883,1694,1566,1976,2069,2117,2051,1653,1068,1977,2122,2429,3049,2143,1974,1960
2051,1336,2304,2276,2040,2041,2915,1334,1260,1994,2069,2117,2033,1654,1070,1978,2122,2429,3046,2143,1975,1960
2072,1368,2237,2219,2051,2076,2750,1716,1464,2043,2048,2113,2060,1647,1022,1964,2100,2437,3085,2145,1987,1965

0.07	Stop
0.07	Stop
0.07	Stop
0.08	Stop
0.08	Smooth
0.08	Smooth
0.07	Stop
0.07	Stop
0.07	Stop
0.08	Stop
0.08	Smooth
0.08	Smooth
0.07	Stop
0.07	Stop
0.07	Stop
0.08	Stop
0.08	Smooth
0.08	Smooth
0.04	Stop
0.04	Stop
0.04	Stop
